Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
145;21100255423;"R Journal";journal;"20734859";"Technische Universitaet Wien";Yes;No;0,483;Q2;71;29;198;1104;278;192;1,04;38,07;38,03;0;Austria;Western Europe;"Technische Universitaet Wien";"2009-2025";"Numerical Analysis (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
146;21101124068;"Iraqi Journal for Computer Science and Mathematics";journal;"27887421, 29580544";"College of Education, Al-Iraqia University";Yes;No;0,482;Q2;22;96;212;3875;806;211;3,69;40,36;28,21;0;Iraq;Middle East;"College of Education, Al-Iraqia University";"2020-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
147;23526;"Communications in Statistics Part B: Simulation and Computation";journal;"15324141, 03610918";"Taylor and Francis Ltd.";No;No;0,473;Q2;65;603;1174;19339;1728;1167;1,45;32,07;34,32;1;United States;Northern America;"Taylor and Francis Ltd.";"1976-2026";"Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Mathematics"
148;12134;"Journal of Official Statistics";journal;"20017367, 0282423X";"SAGE Publications Ltd";Yes;No;0,473;Q2;38;21;107;716;111;103;0,72;34,10;30,65;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1986-1989, 1991, 2009-2025";"Statistics and Probability (Q2)";"Mathematics"
149;21101021576;"Journal of Finance and Data Science";journal;"24059188";"KeAi Communications Co.";Yes;No;0,472;Q3;26;18;67;803;256;63;2,83;44,61;27,27;1;China;Asiatic Region;"KeAi Communications Co.";"2015-2025";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2); Computer Science Applications (Q3); Statistics and Probability (Q3)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
150;12600154783;"Networks and Heterogeneous Media";journal;"1556181X, 15561801";"American Institute of Mathematical Sciences";Yes;No;0,472;Q3;43;65;176;2478;283;175;1,78;38,12;29,76;0;United States;Northern America;"American Institute of Mathematical Sciences";"2006-2026";"Applied Mathematics (Q2); Engineering (miscellaneous) (Q2); Computer Science Applications (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
151;21101093023;"Probability, Uncertainty and Quantitative Risk";journal;"23670126, 20959672";"American Institute of Mathematical Sciences";No;No;0,471;Q3;14;27;69;762;53;67;0,88;28,22;25,49;0;United States;Northern America;"American Institute of Mathematical Sciences";"2016-2025";"Applied Mathematics (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
152;12120;"Journal of Nonparametric Statistics";journal;"10290311, 10485252";"Taylor and Francis Ltd.";No;No;0,470;Q3;49;82;140;2970;155;136;1,03;36,22;34,76;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2026";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
153;21100889419;"Annals of Actuarial Science";journal;"17484995, 17485002";"Cambridge University Press";No;No;0,456;Q3;21;39;83;1502;101;74;1,20;38,51;18,89;0;United Kingdom;Western Europe;"Cambridge University Press";"2010-2026";"Economics and Econometrics (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
154;21100825516;"Random Matrices: Theory and Application";journal;"20103263, 20103271";"World Scientific";No;No;0,456;Q3;23;26;90;799;72;90;0,88;30,73;22,45;0;Singapore;Asiatic Region;"World Scientific";"2012-2026";"Algebra and Number Theory (Q2); Discrete Mathematics and Combinatorics (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
155;21100902965;"Measurement";journal;"15366367, 15366359";"Taylor and Francis Ltd.";No;No;0,448;Q3;25;50;60;2470;72;60;1,36;49,40;40,52;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2008, 2010-2026";"Applied Mathematics (Q2); Education (Q2); Statistics and Probability (Q3)";"Mathematics; Social Sciences"
156;21100888787;"Annals of Economics and Statistics";journal;"21154430, 19683863";"Groupe des ecoles nationales d'economie et statistique";No;No;0,447;Q3;9;9;56;295;44;55;0,72;32,78;31,82;0;France;Western Europe;"Groupe des ecoles nationales d'economie et statistique";"2018-2025";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
157;39594;"Stochastics";journal;"17442516, 17442508";"Gordon and Breach Science Publishers";No;No;0,443;Q3;32;74;163;2116;158;163;1,01;28,59;34,04;0;Switzerland;Western Europe;"Gordon and Breach Science Publishers";"1975, 1979-1984, 2007-2026";"Modeling and Simulation (Q2); Statistics and Probability (Q3)";"Mathematics"
158;21101393933;"Data Science in Finance and Economics";journal;"27692140";"American Institute of Mathematical Sciences";No;No;0,441;Q3;11;22;72;1470;223;72;3,28;66,82;22,00;0;United States;Northern America;"American Institute of Mathematical Sciences";"2022-2026";"Decision Sciences (miscellaneous) (Q2); Finance (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
159;21100941066;"Frontiers in Applied Mathematics and Statistics";journal;"22974687";"Frontiers Media SA";Yes;No;0,441;Q3;29;101;418;3821;896;388;2,09;37,83;33,19;0;Switzerland;Western Europe;"Frontiers Media SA";"2015-2026";"Applied Mathematics (Q2); Statistics and Probability (Q3)";"Mathematics"
160;11700154400;"TOP";journal;"11345764, 18638279";"";No;No;0,438;Q3;35;34;72;1432;123;70;1,72;42,12;30,86;0;Germany;Western Europe;"";"1993-1996, 2003, 2007-2026";"Discrete Mathematics and Combinatorics (Q2); Information Systems and Management (Q2); Modeling and Simulation (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3)";"Decision Sciences; Mathematics"
161;29978;"Stat";journal;"20491573";"John Wiley and Sons Inc";No;No;0,437;Q3;27;92;335;3061;289;330;0,83;33,27;27,13;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2012-2026";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
162;13794;"BioSystems";journal;"03032647, 18728324";"Elsevier Ireland Ltd";No;No;0,433;Q3;88;181;452;13740;969;439;2,25;75,91;25,62;0;Ireland;Western Europe;"Elsevier Ireland Ltd";"1967-2026";"Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biomedical Engineering (Q3); Medicine (miscellaneous) (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Biochemistry, Genetics and Molecular Biology; Engineering; Mathematics; Medicine"
163;21101041527;"Chilean Journal of Statistics";journal;"07187912, 07187920";"Chilean Statistical Society";No;No;0,432;Q3;7;10;33;357;41;31;1,35;35,70;26,92;0;Chile;Latin America;"Chilean Statistical Society";"2019-2025";"Statistics and Probability (Q3)";"Mathematics"
164;5800173396;"Sequential Analysis";journal;"07474946, 15324176";"Taylor and Francis Ltd.";No;No;0,431;Q3;28;31;69;964;69;69;1,20;31,10;27,27;0;United States;Northern America;"Taylor and Francis Ltd.";"1984-1995, 2007-2026";"Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
165;21101309509;"Algebraic Statistics";journal;"26932997, 26933004";"Mathematical Sciences Publishers";No;No;0,430;Q3;5;10;32;298;23;31;0,75;29,80;27,27;0;United States;Northern America;"Mathematical Sciences Publishers";"2021-2026";"Algebra and Number Theory (Q2); Applied Mathematics (Q2); Statistics and Probability (Q3)";"Mathematics"
166;28921;"Communications in Statistics - Theory and Methods";journal;"1532415X, 03610926";"Taylor and Francis Ltd.";No;No;0,427;Q3;79;462;1473;13266;1737;1462;1,15;28,71;32,85;0;United States;Northern America;"Taylor and Francis Ltd.";"1976-2026";"Statistics and Probability (Q3)";"Mathematics"
167;14794;"Statistics and Probability Letters";journal;"01677152";"Elsevier B.V.";No;No;0,421;Q3;79;193;586;3638;480;586;0,72;18,85;29,36;0;Netherlands;Western Europe;"Elsevier B.V.";"1982-2026";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
168;144816;"Methodology and Computing in Applied Probability";journal;"15737713, 13875841";"Springer";No;No;0,419;Q3;38;99;289;3076;353;288;1,24;31,07;26,29;0;United States;Northern America;"Springer";"1999-2000, 2004-2026";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q3)";"Mathematics"
169;23179;"Environmental and Ecological Statistics";journal;"13528505, 15733009";"Springer";No;No;0,418;Q3;58;56;119;2705;243;118;2,11;48,30;43,38;1;United States;Northern America;"Springer";"1994-2026";"Environmental Science (miscellaneous) (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Environmental Science; Mathematics"
170;145729;"Statistical Methods and Applications";journal;"16182510, 1613981X";"";No;No;0,414;Q3;37;58;186;2388;270;180;1,50;41,17;45,28;0;Germany;Western Europe;"";"1996-1997, 2000-2026";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
171;15810;"Probability in the Engineering and Informational Sciences";journal;"02699648, 14698951";"Cambridge University Press";No;No;0,413;Q3;44;29;163;959;177;162;0,84;33,07;28,13;0;United Kingdom;Western Europe;"Cambridge University Press";"1987-2026";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
172;21100941199;"Statistics and Public Policy";journal;"2330443X";"Taylor and Francis Inc.";Yes;No;0,412;Q3;21;7;43;268;79;34;1,41;38,29;37,50;0;United States;Northern America;"Taylor and Francis Inc.";"2014-2025";"Public Administration (Q2); Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Social Sciences"
173;19400157155;"Hacettepe Journal of Mathematics and Statistics";journal;"2651477X, 13035010";"Hacettepe University";No;No;0,411;Q3;42;145;358;4422;398;358;1,11;30,50;31,53;0;Turkey;Middle East;"Hacettepe University";"2008-2025";"Algebra and Number Theory (Q2); Analysis (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)";"Mathematics"
174;21100466426;"Communications in Mathematics and Statistics";journal;"21946701, 2194671X";"Springer Verlag";No;No;0,410;Q3;21;95;134;2910;178;133;1,23;30,63;36,28;0;Germany;Western Europe;"Springer Verlag";"2013-2026";"Applied Mathematics (Q3); Computational Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
175;21101314505;"Journal of Stochastic Analysis";journal;"26896931";"The LSU Scholarly Repository";No;No;0,403;Q3;11;20;47;480;29;47;0,50;24,00;23,33;0;United States;Northern America;"The LSU Scholarly Repository";"2020-2025";"Analysis (Q3); Statistics and Probability (Q3)";"Mathematics"
176;21101039083;"Nonautonomous Dynamical Systems";journal;"23530626";"Walter de Gruyter GmbH";Yes;No;0,393;Q3;13;0;37;0;54;37;0,94;0,00;0,00;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2014-2024";"Analysis (Q3); Applied Mathematics (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Mathematics"
177;23197;"Infinite Dimensional Analysis, Quantum Probability and Related Topics";journal;"17936306, 02190257";"World Scientific Publishing Co. Pte Ltd";No;No;0,383;Q3;35;35;83;788;73;81;0,82;22,51;17,14;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1998-2026";"Applied Mathematics (Q3); Mathematical Physics (Q3); Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3)";"Mathematics; Physics and Astronomy"
178;13375;"Psicologica";journal;"02112159, 15768597";"";Yes;Yes;0,380;Q3;24;5;27;312;23;27;0,81;62,40;38,89;0;Spain;Western Europe;"";"2004-2025";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3); Psychology (miscellaneous) (Q3); Statistics and Probability (Q3)";"Arts and Humanities; Mathematics; Psychology"
179;21101134735;"Data Science";journal;"24518484, 24518492";"SAGE Publications Ltd";Yes;No;0,379;Q3;14;4;27;169;58;26;1,29;42,25;25,00;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2017, 2019-2024";"Computer Science (miscellaneous) (Q2); Artificial Intelligence (Q3); Computational Mathematics (Q3); Information Systems (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
180;145274;"Journal of Statistical Mechanics: Theory and Experiment";journal;"17425468";"Institute of Physics";No;No;0,378;Q3;101;184;703;10258;951;701;1,15;55,75;17,07;0;United Kingdom;Western Europe;"Institute of Physics";"2004-2025";"Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Physics and Astronomy"
181;21100855508;"Dependence Modeling";journal;"23002298";"Walter de Gruyter GmbH";Yes;No;0,368;Q3;17;6;45;287;53;43;1,12;47,83;7,69;0;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2013-2026";"Applied Mathematics (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
182;11300153404;"Journal of the Korean Statistical Society";journal;"12263192";"Korean Statistical Society";No;No;0,368;Q3;30;59;149;1915;122;149;0,80;32,46;38,26;0;South Korea;Asiatic Region;"Korean Statistical Society";"2008-2026";"Statistics and Probability (Q3)";"Mathematics"
183;21101256292;"Annales Universitatis Mariae Curie-Sklodowska, sectio A - Mathematica";journal;"03651029, 20837402";"Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej w Lublinie";Yes;Yes;0,366;Q3;6;13;21;203;19;21;0,40;15,62;12,50;0;Poland;Eastern Europe;"Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej w Lublinie";"2020-2025";"Algebra and Number Theory (Q3); Analysis (Q3); Applied Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
184;21100838017;"Sankhya B";journal;"09768394, 09768386";"Springer India";No;No;0,362;Q3;16;51;95;1840;100;95;1,24;36,08;29,91;0;India;Asiatic Region;"Springer India";"2010-2026";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
185;23241;"International Journal of Game Theory";journal;"14321270, 00207276";"Springer Verlag";No;No;0,361;Q3;51;48;128;1300;76;128;0,61;27,08;18,18;0;Germany;Western Europe;"Springer Verlag";"1971, 1973-2026";"Mathematics (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
186;26924;"Statistical Inference for Stochastic Processes";journal;"15729311, 13870874";"Springer Science and Business Media B.V.";No;No;0,361;Q3;24;23;68;826;55;67;0,86;35,91;20,83;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2001, 2005-2025";"Statistics and Probability (Q3)";"Mathematics"
187;14345;"Theory in Biosciences";journal;"16117530, 14317613";"Springer Science and Business Media Deutschland GmbH";No;No;0,361;Q3;45;21;76;1086;147;73;2,25;51,71;26,67;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1997-2026";"Applied Mathematics (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Statistics and Probability (Q3)";"Agricultural and Biological Sciences; Mathematics"
188;21100206801;"Statistics and its Interface";journal;"19387989, 19387997";"International Press, Inc.";No;No;0,358;Q3;25;40;143;1303;89;138;0,41;32,58;40,00;0;United States;Northern America;"International Press, Inc.";"2010-2026";"Applied Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
189;21100201965;"Journal of Statistical Theory and Practice";journal;"15598616, 15598608";"Springer Nature";No;No;0,354;Q3;28;96;183;3207;204;182;1,04;33,41;38,07;0;Switzerland;Western Europe;"Springer Nature";"2007-2026";"Statistics and Probability (Q3)";"Mathematics"
190;19400158517;"Statistics in Biosciences";journal;"18671764, 18671772";"Springer";No;No;0,354;Q3;23;65;117;2488;93;112;0,58;38,28;40,54;1;United States;Northern America;"Springer";"2009-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Statistics and Probability (Q3)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
191;21101057377;"Advanced Mathematical Models and Applications";journal;"25194445";"Jomard Publishing";No;No;0,352;Q3;13;50;111;1504;182;110;1,50;30,08;31,30;0;Azerbaijan;Eastern Europe;"Jomard Publishing";"2019-2025";"Applied Mathematics (Q3); Computational Mathematics (Q3); Control and Optimization (Q3); Modeling and Simulation (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Mathematics"
192;19700201685;"REVSTAT-Statistical Journal";journal;"21830371, 16456726";"National Statistical Institute";Yes;Yes;0,352;Q3;24;29;86;810;81;85;0,89;27,93;18,33;0;Portugal;Western Europe;"National Statistical Institute";"2010-2025";"Statistics and Probability (Q3)";"Mathematics"
193;14828;"Stochastic Models";journal;"15326349, 15324214";"Taylor and Francis Ltd.";No;No;0,351;Q3;41;30;99;813;77;97;0,74;27,10;29,85;0;United States;Northern America;"Taylor and Francis Ltd.";"2002-2026";"Applied Mathematics (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
194;21101094914;"Observational Studies";journal;"27673324";"University of Pennsylvania Press";Yes;Yes;0,344;Q3;9;16;54;478;65;44;1,15;29,88;18,60;0;United States;Northern America;"University of Pennsylvania Press";"2019-2025";"Applied Mathematics (Q3); Computer Science Applications (Q3); Modeling and Simulation (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
195;27401;"Theory of Probability and its Applications";journal;"0040585X, 10957219";"Society for Industrial and Applied Mathematics Publications";No;No;0,344;Q3;37;40;153;803;72;151;0,59;20,08;26,42;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1996-2025";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
196;21100834346;"Thailand Statistician";journal;"23510676, 16859057";"Thai Statistical Association";No;No;0,341;Q3;14;60;180;1645;196;180;1,15;27,42;29,92;0;Thailand;Asiatic Region;"Thai Statistical Association";"2017-2026";"Computational Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
197;14844;"Survey Methodology";journal;"14920921, 07140045";"Statistics Canada";No;No;0,337;Q3;27;34;78;850;42;72;0,42;25,00;23,08;0;Canada;Northern America;"Statistics Canada";"1987-1988, 1992, 2008-2025";"Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Mathematics"
198;21100838045;"Sankhya A";journal;"0976836X, 09768378";"Springer India";No;No;0,335;Q3;14;63;149;1641;84;147;0,55;26,05;20,20;0;India;Asiatic Region;"Springer India";"2010-2026";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
199;21101113590;"Foundations of Data Science";journal;"26398001";"American Institute of Mathematical Sciences";No;No;0,331;Q3;15;38;62;2368;104;59;1,85;62,32;19,05;0;United States;Northern America;"American Institute of Mathematical Sciences";"2019-2026";"Analysis (Q3); Applied Mathematics (Q3); Computational Theory and Mathematics (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
200;21101255056;"Memoires de la Societe Mathematique de France";journal;"0249633X, 22753230";"Societe Mathematique de France";No;No;0,329;Q3;4;4;8;186;6;8;0,75;46,50;0,00;0;France;Western Europe;"Societe Mathematique de France";"2020-2021, 2023-2025";"Algebra and Number Theory (Q3); Analysis (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)";"Mathematics"
201;21100913561;"Swiss Journal of Economics and Statistics";journal;"22356282";"Springer Nature";Yes;Yes;0,329;Q3;20;14;50;677;81;47;1,77;48,36;18,52;1;Switzerland;Western Europe;"Springer Nature";"2007-2026";"Economics and Econometrics (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics"
202;21101027631;"Journal of Privacy and Confidentiality";journal;"25758527";"Cornell University";Yes;Yes;0,327;Q3;14;12;36;517;59;35;1,15;43,08;24,44;0;United States;Northern America;"Cornell University";"2019-2025";"Computer Science Applications (Q3); Computer Science (miscellaneous) (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
203;21101079608;"Journal of Reliability and Statistical Studies";journal;"09748024, 22295666";"";No;No;0,327;Q3;11;20;62;613;113;61;1,44;30,65;32,00;0;Denmark;Western Europe;"";"2019-2025";"Analysis (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Mathematics"
204;21100871803;"Jordan Journal of Mathematics and Statistics";journal;"20757905, 22275487";"Yarmouk University";No;No;0,326;Q3;11;52;161;1302;120;161;0,77;25,04;22,73;0;Jordan;Middle East;"Yarmouk University";"2018-2025";"Applied Mathematics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3)";"Mathematics"
205;21100853526;"ACM Transactions on Economics and Computation";journal;"21678375, 21678383";"Association for Computing Machinery";No;No;0,316;Q3;27;17;41;759;48;39;1,19;44,65;21,05;0;United States;Northern America;"Association for Computing Machinery";"2013-2025";"Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Economics and Econometrics (Q3); Marketing (Q3); Statistics and Probability (Q3)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
206;19900192736;"Brazilian Journal of Probability and Statistics";journal;"01030752";"Associacao Brasileira de Estatistica";Yes;No;0,310;Q3;26;20;108;648;74;107;0,66;32,40;20,00;0;Brazil;Latin America;"Associacao Brasileira de Estatistica";"2009-2025";"Statistics and Probability (Q3)";"Mathematics"
207;21101219666;"Journal of Data Science";journal;"1680743X, 16838602";"Center for Applied Statistics, School of Statistics, Renmin University of China";Yes;Yes;0,309;Q3;11;47;120;1347;111;115;0,70;28,66;38,14;0;China;Asiatic Region;"Center for Applied Statistics, School of Statistics, Renmin University of China";"2020-2025";"Computer Science Applications (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
208;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";"SAGE Publications Ltd";No;No;0,306;Q3;92;805;2259;9246;3688;2257;1,53;11,49;33,14;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1993-2026";"Artificial Intelligence (Q3); Engineering (miscellaneous) (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
209;21101099585;"Calcutta Statistical Association Bulletin";journal;"00080683, 24566462";"Sage Publications India Pvt. Ltd";No;No;0,303;Q3;14;17;42;434;28;32;0,73;25,53;32,14;0;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"1947-1973, 1975-1976, 1978-1981, 1983, 1985-1991, 1994-2026";"Statistics and Probability (Q3)";"Mathematics"
210;12838;"Metron";journal;"00261424, 2281695X";"Springer-Verlag Italia s.r.l.";No;No;0,303;Q3;29;23;60;640;54;56;0,83;27,83;36,59;0;Italy;Western Europe;"Springer-Verlag Italia s.r.l.";"1973-1974, 1999-2026";"Statistics and Probability (Q3)";"Mathematics"
211;21100854726;"International Journal of Mathematics and Computer Science";journal;"18140432, 18140424";"";No;No;0,302;Q3;21;161;441;1493;545;441;1,50;9,27;44,51;0;United States;Northern America;"";"2017-2025";"Algebra and Number Theory (Q3); Applied Mathematics (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Discrete Mathematics and Combinatorics (Q3); Modeling and Simulation (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
212;21100209308;"Theory of Probability and Mathematical Statistics";journal;"00949000, 15477363";"American Mathematical Society";No;No;0,302;Q3;16;25;62;553;34;58;0,58;22,12;15,38;0;United States;Northern America;"American Mathematical Society";"2004-2025";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
213;20062;"Economie et Statistique";journal;"17775574, 03361454";"Institut National de la Statistique et des Etudes Economiques";No;No;0,300;Q3;18;11;65;261;26;62;0,28;23,73;29,17;2;France;Western Europe;"Institut National de la Statistique et des Etudes Economiques";"1977-1998, 2007-2025";"Sociology and Political Science (Q2); Economics and Econometrics (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
214;21101119534;"Stats";journal;"2571905X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,300;Q3;16;119;250;4399;314;250;1,31;36,97;24,72;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2025";"Statistics and Probability (Q3)";"Mathematics"
215;21101142420;"Journal of the Indian Society for Probability and Statistics";journal;"23649569";"Springer";No;No;0,298;Q3;12;59;98;1725;107;98;1,06;29,24;27,56;0;India;Asiatic Region;"Springer";"2016-2026";"Statistics and Probability (Q3)";"Mathematics"
216;28426;"Australian and New Zealand Journal of Statistics";journal;"1467842X, 13691473";"Wiley-Blackwell Publishing Ltd";No;No;0,297;Q3;49;29;63;1180;48;63;0,41;40,69;34,85;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2026";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
217;21101049616;"Japanese Journal of Statistics and Data Science";journal;"25208764";"Springer Science and Business Media B.V.";No;No;0,296;Q3;13;60;119;1979;106;113;0,81;32,98;13,64;0;Germany;Western Europe;"Springer Science and Business Media B.V.";"2018-2026";"Computational Theory and Mathematics (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
218;6000194782;"Games";journal;"20734336";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,290;Q3;27;66;202;2295;153;195;0,87;34,77;25,34;1;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2010-2025";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
219;21100464776;"Statistics, Optimization and Information Computing";journal;"23105070, 2311004X";"International Academic Press";Yes;No;0,288;Q3;24;396;269;14698;450;269;1,63;37,12;31,33;0;Hong Kong;Asiatic Region;"International Academic Press";"2013-2026";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Information Systems (Q3); Signal Processing (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Mathematics"
220;21100455415;"Regional Statistics";journal;"20648243, 20639538";"Hungarian Central Statistical Office";No;No;0,287;Q3;22;44;128;2319;194;128;1,36;52,70;33,61;0;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"2015-2026";"Cultural Studies (Q1); Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Public Administration (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
